statistic_ref_id,quiz_id,user_id,create_time,is_old,form_data
507,4,1,1675318957,0,
521,3,333,1675757928,0,
522,2,333,1675758410,0,
523,1,333,1675759388,0,
524,1,334,1675849632,0,
525,4,335,1675850529,0,
526,2,336,1675857464,0,
527,2,337,1675858230,0,
528,3,338,1675926399,0,
529,2,338,1675926662,0,
530,1,338,1675927133,0,
531,3,340,1676204476,0,
532,2,340,1676205149,0,
533,1,340,1676206463,0,
534,3,343,1677306408,0,
535,1,343,1677306696,0,
536,2,343,1677308482,0,
537,3,344,1680674069,0,
538,2,344,1680674417,0,
539,1,344,1680674718,0,
540,3,345,1680699934,0,
541,1,345,1680701430,0,
542,2,345,1680703264,0,
543,1,347,1680957596,0,
544,2,347,1680957892,0,
545,3,347,1680958133,0,
546,3,348,1681028347,0,
547,2,348,1681029649,0,
548,1,348,1681031349,0,
549,3,349,1681033146,0,
550,2,349,1681033986,0,
551,1,349,1681035048,0,
552,3,350,1681194833,0,
553,2,350,1681195873,0,
554,1,350,1681197678,0,
556,3,352,1681552716,0,
557,2,352,1681554528,0,
558,3,353,1681572289,0,
559,2,353,1681574057,0,
560,1,353,1681575363,0,
561,3,355,1681629129,0,
562,2,355,1681629697,0,
563,1,355,1681630181,0,
564,3,356,1681631509,0,
565,2,356,1681631631,0,
566,1,356,1681632014,0,
567,3,357,1681636907,0,
568,2,357,1681637532,0,
569,1,357,1681637632,0,
570,3,358,1681639289,0,
571,2,358,1681639714,0,
572,1,358,1681640070,0,
573,3,359,1682748909,0,
574,2,359,1682749572,0,
575,1,359,1682750221,0,
576,3,360,1682767865,0,
577,2,360,1682768219,0,
578,1,360,1682768897,0,
579,3,361,1682769760,0,
580,3,362,1682834628,0,
581,2,362,1682834855,0,
582,1,362,1682835385,0,
583,3,363,1682839310,0,
584,2,363,1682840705,0,
585,1,363,1682841404,0,
586,3,364,1682844048,0,
587,2,364,1682844403,0,
588,1,364,1682845231,0,
589,3,365,1682852353,0,
590,2,365,1682852773,0,
591,1,365,1682853397,0,
592,3,366,1682862408,0,
593,2,366,1682863194,0,
594,1,366,1682864734,0,
595,3,367,1683004713,0,
596,1,367,1683005210,0,
597,2,367,1683005933,0,
598,3,368,1683032970,0,
599,1,368,1683033930,0,
600,2,368,1683037609,0,
601,3,369,1683098646,0,
602,2,369,1683098995,0,
603,1,369,1683099825,0,
604,3,371,1683102069,0,
605,2,371,1683102319,0,
606,3,370,1683102563,0,
607,1,371,1683102731,0,
608,2,370,1683103565,0,
609,3,373,1683103598,0,
610,2,373,1683103867,0,
611,1,373,1683104229,0,
612,3,374,1683104753,0,
613,1,370,1683105342,0,
614,2,374,1683105885,0,
615,1,374,1683106860,0,
616,3,375,1683108836,0,
617,1,375,1683109168,0,
618,2,375,1683109202,0,
619,3,376,1683115630,0,
620,3,377,1683116817,0,
621,1,376,1683116934,0,
622,1,377,1683117298,0,
623,2,376,1683117676,0,
624,2,379,1683354360,0,
625,1,379,1683354848,0,
626,3,380,1683373955,0,
627,2,380,1683374765,0,
628,1,380,1683375056,0,
629,3,381,1683376919,0,
630,2,381,1683378204,0,
631,1,381,1683379190,0,
632,3,382,1683525039,0,
633,2,382,1683525421,0,
634,1,382,1683525839,0,
635,3,383,1683532988,0,
636,2,383,1683533338,0,
637,1,383,1683533679,0,
638,1,384,1683540985,0,
639,3,385,1683548232,0,
640,2,385,1683548692,0,
641,1,385,1683549516,0,
642,3,387,1683700182,0,
643,2,387,1683700418,0,
644,1,387,1683700753,0,
645,3,388,1683706683,0,
646,2,388,1683707820,0,
647,1,388,1683709624,0,
648,3,389,1683723123,0,
649,3,390,1684048090,0,
650,2,390,1684049044,0,
651,1,390,1684050860,0,
652,3,391,1684055262,0,
653,2,391,1684055635,0,
654,1,391,1684056504,0,
655,3,392,1684322554,0,
656,2,392,1684323304,0,
657,1,392,1684324586,0,
658,3,393,1684328564,0,
659,2,393,1684329088,0,
660,3,394,1684329336,0,
661,3,395,1684329419,0,
662,2,395,1684329743,0,
663,1,393,1684330280,0,
664,1,395,1684330549,0,
665,2,396,1684330654,0,
666,2,394,1684331123,0,
667,1,396,1684331661,0,
668,1,394,1684332575,0,
669,3,397,1684395482,0,
670,1,397,1684396446,0,
671,2,397,1684397391,0,
672,3,398,1684570270,0,
673,2,398,1684570652,0,
674,1,398,1684571134,0,
675,3,399,1684581775,0,
676,1,399,1684582590,0,
677,2,399,1684583978,0,
678,3,400,1684584782,0,
679,2,400,1684585064,0,
680,1,400,1684585714,0,
681,3,401,1685430916,0,
682,2,402,1685431078,0,
683,1,402,1685432101,0,
684,3,403,1685446095,0,
685,2,403,1685447772,0,
686,1,403,1685449363,0,
687,3,404,1685508533,0,
688,2,404,1685508988,0,
689,3,406,1686037059,0,
690,2,406,1686038557,0,
691,3,407,1686038736,0,
692,2,407,1686039616,0,
693,1,406,1686039844,0,
694,1,407,1686040517,0,
695,3,408,1686043418,0,
696,2,408,1686044084,0,
697,1,408,1686044725,0,
698,3,409,1686046268,0,
699,2,409,1686046367,0,
700,1,409,1686046510,0,
701,3,410,1686048601,0,
702,2,410,1686048811,0,
703,3,411,1686122147,0,
