# ----------------------------------------
# Report CSV Export
# Account: chekad
# Property: chekad - GA4
# ----------------------------------------
#  
# Start date: 20240101
# End date: 20240805
Nth day,Users
0000,73
0001,67
0002,72
0003,49
0004,54
0005,72
0006,59
0007,68
0008,71
0009,67
0010,42
0011,35
0012,59
0013,60
0014,70
0015,78
0016,65
0017,70
0018,38
0019,63
0020,73
0021,84
0022,78
0023,75
0024,32
0025,35
0026,70
0027,56
0028,72
0029,66
0030,58
0031,56
0032,45
0033,62
0034,78
0035,70
0036,69
0037,48
0038,41
0039,46
0040,47
0041,31
0042,63
0043,61
0044,65
0045,41
0046,32
0047,65
0048,49
0049,76
0050,71
0051,60
0052,48
0053,38
0054,65
0055,44
0056,55
0057,60
0058,72
0059,34
0060,53
0061,56
0062,61
0063,65
0064,73
0065,70
0066,44
0067,42
0068,48
0069,52
0070,64
0071,54
0072,50
0073,41
0074,38
0075,48
0076,39
0077,41
0078,24
0079,31
0080,33
0081,35
0082,39
0083,36
0084,52
0085,37
0086,61
0087,44
0088,39
0089,42
0090,31
0091,36
0092,73
0093,48
0094,53
0095,34
0096,60
0097,63
0098,72
0099,52
0100,40
0101,39
0102,32
0103,66
0104,56
0105,74
0106,77
0107,78
0108,52
0109,58
0110,77
0111,81
0112,86
0113,82
0114,85
0115,58
0116,42
0117,83
0118,63
0119,63
0120,76
0121,71
0122,53
0123,43
0124,51
0125,84
0126,71
0127,90
0128,70
0129,53
0130,65
0131,70
0132,68
0133,100
0134,70
0135,123
0136,105
0137,67
0138,131
0139,97
0140,85
0141,100
0142,76
0143,74
0144,61
0145,106
0146,100
0147,133
0148,153
0149,77
0150,36
0151,40
0152,72
0153,46
0154,41
0155,46
0156,58
0157,46
0158,42
0159,70
0160,65
0161,74
0162,96
0163,65
0164,47
0165,50
0166,85
0167,61
0168,38
0169,72
0170,75
0171,49
0172,27
0173,55
0174,72
0175,69
0176,45
0177,64
0178,47
0179,37
0180,71
0181,54
0182,56
0183,66
0184,56
0185,48
0186,45
0187,67
0188,62
0189,68
0190,73
0191,66
0192,50
0193,50
0194,68
0195,39
0196,30
0197,45
0198,47
0199,34
0200,34
0201,17
0202,2
0203,0
0204,0
0205,0
0206,0
0207,0
0208,0
0209,0
0210,0
0211,0
0212,0
0213,0
0214,0
0215,0
0216,47
0217,2

# Start date: 20240101
# End date: 20240805
Nth day,Engaged sessions
0000,59
0001,52
0002,53
0003,40
0004,46
0005,57
0006,38
0007,52
0008,49
0009,47
0010,32
0011,24
0012,48
0013,46
0014,51
0015,61
0016,44
0017,39
0018,27
0019,49
0020,63
0021,74
0022,59
0023,51
0024,23
0025,24
0026,51
0027,40
0028,56
0029,40
0030,40
0031,41
0032,35
0033,49
0034,53
0035,52
0036,57
0037,37
0038,30
0039,40
0040,35
0041,18
0042,45
0043,46
0044,42
0045,29
0046,23
0047,52
0048,36
0049,67
0050,60
0051,43
0052,37
0053,27
0054,54
0055,28
0056,47
0057,52
0058,55
0059,21
0060,39
0061,48
0062,48
0063,51
0064,59
0065,58
0066,32
0067,26
0068,34
0069,47
0070,68
0071,49
0072,46
0073,23
0074,28
0075,31
0076,30
0077,36
0078,13
0079,28
0080,17
0081,26
0082,25
0083,30
0084,38
0085,29
0086,38
0087,31
0088,26
0089,30
0090,24
0091,32
0092,57
0093,38
0094,40
0095,28
0096,43
0097,50
0098,50
0099,44
0100,25
0101,28
0102,24
0103,57
0104,45
0105,57
0106,56
0107,67
0108,43
0109,36
0110,78
0111,64
0112,77
0113,55
0114,58
0115,50
0116,33
0117,71
0118,49
0119,58
0120,74
0121,57
0122,40
0123,27
0124,42
0125,70
0126,55
0127,61
0128,54
0129,39
0130,46
0131,58
0132,58
0133,85
0134,63
0135,80
0136,51
0137,24
0138,62
0139,44
0140,37
0141,61
0142,27
0143,26
0144,24
0145,54
0146,44
0147,52
0148,64
0149,54
0150,21
0151,35
0152,47
0153,35
0154,30
0155,36
0156,38
0157,35
0158,31
0159,55
0160,56
0161,54
0162,69
0163,47
0164,27
0165,38
0166,71
0167,44
0168,27
0169,60
0170,62
0171,26
0172,19
0173,34
0174,46
0175,33
0176,29
0177,41
0178,25
0179,24
0180,49
0181,40
0182,42
0183,44
0184,44
0185,27
0186,33
0187,36
0188,39
0189,47
0190,48
0191,50
0192,27
0193,28
0194,46
0195,27
0196,24
0197,27
0198,28
0199,21
0200,21
0201,17
0202,1
0203,0
0204,0
0205,0
0206,0
0207,0
0208,0
0209,0
0210,0
0211,0
0212,0
0213,0
0214,0
0215,0
0216,31
0217,1

# Start date: 20240101
# End date: 20240805
Nth day,Key events
0000,0
0001,0
0002,0
0003,0
0004,0
0005,0
0006,0
0007,0
0008,0
0009,0
0010,0
0011,0
0012,0
0013,0
0014,0
0015,0
0016,0
0017,0
0018,0
0019,0
0020,0
0021,0
0022,0
0023,0
0024,0
0025,0
0026,0
0027,0
0028,0
0029,0
0030,0
0031,0
0032,0
0033,0
0034,0
0035,0
0036,0
0037,0
0038,0
0039,0
0040,0
0041,0
0042,0
0043,0
0044,0
0045,0
0046,0
0047,0
0048,0
0049,0
0050,0
0051,0
0052,0
0053,0
0054,0
0055,0
0056,0
0057,0
0058,0
0059,0
0060,0
0061,0
0062,0
0063,0
0064,0
0065,0
0066,0
0067,0
0068,0
0069,0
0070,0
0071,0
0072,0
0073,0
0074,0
0075,0
0076,0
0077,0
0078,0
0079,0
0080,0
0081,0
0082,0
0083,0
0084,0
0085,0
0086,0
0087,0
0088,0
0089,0
0090,0
0091,0
0092,0
0093,0
0094,0
0095,0
0096,0
0097,0
0098,0
0099,0
0100,0
0101,0
0102,0
0103,0
0104,0
0105,0
0106,0
0107,0
0108,0
0109,0
0110,0
0111,0
0112,0
0113,0
0114,0
0115,0
0116,0
0117,0
0118,0
0119,0
0120,0
0121,0
0122,0
0123,0
0124,0
0125,0
0126,0
0127,0
0128,0
0129,0
0130,0
0131,0
0132,0
0133,0
0134,0
0135,0
0136,0
0137,0
0138,0
0139,0
0140,0
0141,0
0142,0
0143,0
0144,0
0145,0
0146,0
0147,0
0148,0
0149,0
0150,0
0151,0
0152,0
0153,0
0154,0
0155,0
0156,0
0157,0
0158,0
0159,0
0160,0
0161,0
0162,0
0163,0
0164,0
0165,0
0166,0
0167,0
0168,0
0169,0
0170,0
0171,0
0172,0
0173,0
0174,0
0175,0
0176,0
0177,0
0178,0
0179,0
0180,0
0181,0
0182,0
0183,0
0184,0
0185,0
0186,0
0187,0
0188,0
0189,0
0190,0
0191,0
0192,0
0193,0
0194,0
0195,0
0196,0
0197,0
0198,0
0199,0
0200,0
0201,0
0202,0
0203,0
0204,0
0205,0
0206,0
0207,0
0208,0
0209,0
0210,0
0211,0
0212,0
0213,0
0214,0
0215,0
0216,0
0217,0

#  
# Start date: 20240101
# End date: 20240805
Device brand,Users
Google,2869
Samsung,2711
Xiaomi,1650
Apple,1118
Mozilla,498
Huawei,335
Microsoft,290
Realme,103
Vivo,74
POCO,63
Nokia,44
Honor,43
Motorola,42
OPPO,36
OnePlus,29
Opera Software,28
LG,15
Infinix,10
Lenovo,10
Nothing,6
Tecno,6
DOOGEE,5
Daria,4
HTC,3
Lava,3
Sony,3
Amazon,2
Asus,2
GPlus,2
IPPO,2
T-Mobile,2
itel,2
BlackBerry,1
Blackview,1
Dcode,1
Fujitsu,1
G-Tab,1
Gionee,1
Hisense,1
Iris,1
Jio,1
Umidigi,1

#  
# Start date: 20240101
# End date: 20240805
Device category,Users
mobile,6455
desktop,4219
tablet,72

#  
# Start date: 20240101
# End date: 20240805
OS with version,Users
Windows 10,2457
Android 13.0.0,1238
Android 11.0.0,761
Android 12.0.0,725
Android 14.0.0,695
Windows 11,591
Windows 7,420
 ,414
Android 10.0.0,396
Android 10,366
Android 11,267
Android 9.0.0,222
Android 12,156
Linux ,147
Android 13,140
iOS 17.4.1,132
Android 8.1.0,126
Android 8.0.0,116
iOS 17.2.1,109
Macintosh Intel 10.15,91
iOS 17.5.1,89
Android 9,76
Android 14,64
iOS 17.4,62
Android 6.0.1,59
iOS 17.3.1,55
Windows 8.1,52
iOS 17.3,50
