,Name,Middle Name,Department,Phone,Phone mobile,Account number,Address,Address 1: Address Type,Address 1: City,Address 1: Fax,Address 1: Name,Address 1: Phone,Address 1: Post Office Box,Address 1: Street 1,Address 1: Street 2,Address 1: Street 3,Address 1: Telephone 2,Address 1: Telephone 3,Address 1: UPS Zone,Address 1: UTC Offset,Address 1: ZIP/Postal Code,Address 2,Address 2: Address Type,Address 2: City,Address 2: Country/Region,Address 2: County,Address 2: Fax,Address 2: Name,Address 2: State/Province,Address 2: Street 1,Address 2: Street 2,Address 2: Street 3,Address 2: Telephone 1,Address 2: Telephone 2,Address 2: Telephone 3,Address 2: ZIP/Postal Code,Address 3: Telephone3,Address 3: UPS Zone,Assistant,Assistant Phone,Back Office Customer,Bank account,Bank information,Business Phone 2,Callback Number,card number,chekad account type,chekad account type1,Company Name,Company Phone,Description,Email,Fax,First Name,Hold Sync,Home Phone,Home Phone 2,Last Name,Ledger,Manager,Manager Phone,Marital Status,Marketing Only,Note,Note2,Note3,Note4,Note5,Note6,phon2,phone1,Role,ROO,sex,sheba number,Telephone 3
,,,آبیان صنعت شاهوار,01732357549,09119654869,,"آدرس 1(پستی) : گلستان، گرگان، خیابان سرخواجه،مجتمع آفتاب 3 ، طبقه سوم، واحد 290
4915659189",,,,,,,"آدرس 1(پستی) : گلستان، گرگان، خیابان سرخواجه،مجتمع آفتاب 3 ، طبقه سوم، واحد 290",,,,,,,4915659189,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,,,0,,No,0,0,آبیان صنعت شاهوار,, ,,,No,,,,,,,,,,,آقا,,0
,,,آزمایشگاه معتمد محیط زیست,02333605058,,,,,,,,,,,,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,,,0,,No,0,0,آزمایشگاه معتمد محیط زیست,, ,,,No,,,,,,,,,,,آقا,,0
,,,اتاق بازرگانی ایران,02188346518,,,"تهران-خیابان آیت الله طالقانی، جنب سفارت سابق امریکا، بعد از سپهبد قرنی، نبش خیابان شهید موسوی-یا فرصت،شماره 175 
تهران, تهران",,تهران,,,,," تهران-خیابان آیت الله طالقانی، جنب سفارت سابق امریکا، بعد از سپهبد قرنی، نبش خیابان شهید موسوی-یا فرصت،شماره 175 ",,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,,,0,,No,0,0,اتاق بازرگانی ایران,, ,,,No,,,,,,,,,,,آقا,,0
,,,اتاق بازرگانی تهران,02188713170,,,"تهران-ضلع شمال غربی میدان ولیعصر
تهران, تهران",,تهران,,,,, تهران-ضلع شمال غربی میدان ولیعصر,,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,,,0,,No,02188723801,02188925332,اتاق بازرگانی تهران,, ,,,No,,,,,,,,,,,آقا,,02188925331
,,,اتاق بازرگانی چین,02188346700,,,"تهران-
تهران, تهران",,تهران,,,,, تهران-,,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,,,021088304140,,No,02188306999,0,اتاق بازرگانی چین,, ,,,No,,,,,,,,,,,آقا,,0
,,,اتاق بازرگانی سمنان,0234464004,09122310996,,"سمنان-سمنان- میدان معلم ، مجتمع اداری سازمان بازرگانی 
سمنان, سمنان 3519834875",,سمنان,,,,," سمنان-سمنان- میدان معلم ، مجتمع اداری سازمان بازرگانی ",,,,,,,3519834875,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,فکس اتاق    02314464009,,02104441319,,No,0234464002,02333464003,اتاق بازرگانی سمنان,, ,,,No,,,,,,,,,,,آقا,,02333464005
,,,اداره استاندارد پونک,02144404205,,,"تهران-میدان پونک، بلوار سردار جنگل، خیابان بهار غربی
تهران, تهران",,تهران,,,,," تهران-میدان پونک، بلوار سردار جنگل، خیابان بهار غربی",,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,,,0,,No,02144404204,0,اداره استاندارد پونک,, ,,,No,,,,,,,,,,,آقا,,02144404203
,,,اداره برق نارمک,02177810957,,,,,,,,,,,,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,,,0,,No,02188215511,02185122404,اداره برق نارمک,, ,,,No,,,,,,,,,,,آقا,,02177833737
,,,اداره بیمه ایوانکی,02324622061,,,"تهران-
تهران, تهران",,تهران,,,,, تهران-,,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,آقای احمدی 02324221638-9      فدایی 02324624046,,0,,No,02324223151,02324241077,اداره بیمه ایوانکی,, ,,,No,,,,,,,,,,,آقا,,02324622062
,,,اداره ثبت سفارشات بازرگانی,02122662646,,,,,,,,,,,,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,,,0,,No,0,0,اداره ثبت سفارشات بازرگانی,, ,,,No,,,,,,,,,,,آقا,,0
,,,اداره ثبت سمنان,02333436181,,,,,,,,,,,,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,,,0,,No,02333444982,0,اداره ثبت سمنان,, ,,,No,,,,,,,,,,,آقا,,02333444138
