id,organization,first_name,last_name,category_id,category,business_type,sex,phone_number_1,phone_number_1_organizational_position,phone_number_1_name,phone_number_1_ex,phone_number_1_note,phone_number_2,phone_number_2_name,phone_number_2_organizational_position,phone_number_2_ex,phone_number_2_note,phone_number_3,phone_number_3_name,phone_number_3_organizational_position,phone_number_3_ex,phone_number_3_note,phone_number_4,phone_number_4_name,phone_number_4_organizational_position,phone_number_4_ex,phone_number_4_note,phone_number_5,phone_number_5_name,phone_number_5_organizational_position,phone_number_5_ex,phone_number_5_note,phone_number_6,phone_number_6_name,phone_number_6_organizational_position,phone_number_6_ex,phone_number_6_note,fax,mobile_number_1,mobile_number_1_name,mobile_number_1_note,mobile_number_1_email,mobile_number_2,mobile_number_2_name,mobile_number_2_note,mobile_number_2_email,mobile_number_3,mobile_number_3_name,mobile_number_3_note,mobile_number_3_email,mobile_number_4,mobile_number_4_name,mobile_number_4_note,mobile_number_4_email,province,city,address_1,postal_code_1,address_2,postal_code_2,address_3,postal_code_3,description,customer_id,color,note,created_at,modified_at,owner,latest_editor,latest_editor_log,deleted_data,active
1, رنگ موج,,,1, مشتریان صنعت رنگ,تولید کننده رنگ پودری,,021-88881907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09122383895,,,,,,,,,,,,,,,,تهران,تهران,ایران تهران تهران ,,,,,,,,,,,,,,,,
2,آبرنگ سازان,,,, مشتریان صنعت رنگ,تولید کننده رنگ پودری,, 021-22017274,,,,,021-22018042,,,,,021-22017234,,,,,,,,,,,,,,,,,,,,021-22015512,09124451051,,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران آدرس 1 : تهران، ولیعصر، روبروی پارک ملت، نبش کوچه صداقت، برج ملت، طبقه 10، واحد 8",,,,,,,,,,,,,,,,
3,آبرنگ شیمی,,,, مشتریان صنعت رنگ,,,0864-5253781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0864-5253783,"09122659303, 09125626191",,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران آدرس 1 :مرکزی، ساوه،  شهرستان زرندیه، شهرک صنعتی مامونیه، نبش خیابان نهم، پلاک ثبتی 75 آدرس 2 : (منزل عیدی)تهران، جلال ال احمد، شرق به غرب، حاشیه پل آزمایش، پلاک 51، واحد 3 آدرس 3 (پستی) : تهران، بلوار مرزداران، کوچه مهدی یکم، پلاک 51، واحد 3",341893395  1464778944,,,,,,,,,,,,,,,
4,آذر فام سیرنگ,,,, مشتریان صنعت رنگ,تولید کننده رنگ پودری,,021-36424500,,,,,021-36424501,,,,,,,,,,,,,,,,,,,,,,,,,021-36424502,09123166164,,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران آدرس 1 (پستی): تهران، جاده خاوران، بعداز پلیس راه شریف آباد، شهرک صنعتی عباس آباد، بلوار این سینا، خ دلگشا، خ جامی، کوی توسکا، پلاک 809",3393164595,,,,,,,,,,,,,,,
5,آذرفام,,,, مشتریان صنعت رنگ,مصرف کننده,,029-33424500,,,,,029-33424502,,,,,,,,,,,,,,,,,,,,,,,,,029-33424502,,,,,,,,,,,,,,,,,تهران,ورامین,ایران تهران ورامین ,,,,,,,,,,,,,,,,
6,آرش رنگ,,,, مشتریان صنعت رنگ,مصرف کننده,,021-22255811,,,,,021-22255815,,,,,,,,,,,,,,,,,,,,,,,,,,"09121301838, 09123808268",,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران آدرس 1 : تهران، خیابان مدائن، خیابان حاج صادقی، پلاک 129، ط 2، و 2",,,,,,,,,,,,,,,,
7,آرنگ شیمی,,,, مشتریان صنعت رنگ,تولید کننده رنگ مایع,, 021-88529616,,,,,021-88756704,,,,,,,,,,,,,,,,,,,,,,,,,021-88529617,,,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران بلوار آفریقا، بالاتر از تقاطع میر داماد، کوچه اناهیتا، پلاک 22 ،واحد 4، طبقه 2 ",1917644416,,,,,,,,,,,,,,,
8,آروین اوزمان,,,, مشتریان صنعت رنگ,,,021-7624470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,آریان الوان شیمی ,, تقی لوها,, مشتریان صنعت رنگ,مصرف کننده,, 021-22262040,,,,,021-22262035,,,,,,,,,,,,,,,,,,,,,,,,,,09125216435,,,,,,,,,,,,,,,,تهران,تهران,ایران تهران تهران ,,,,,,,,,,,,,,,,
10,آسان پوشش سپاهان,,,, مشتریان صنعت رنگ,مصرف کننده,, 031-32503441,,,,,031-45838276,,,,, 031-32503442,,,,,,,,,,,,,,,,,,,,,"09133141437, 09130837535",,,,,,,,,,,,,,,,اصفهان,اصفهان,"ایران اصفهان اصفهان آدرس 1 (پستی): اصفهان، شهرک صنعتی دولت آباد، خیابان هاتف اصفهانی( 16)، پلاک 27، شرکت آسان پوشش سپاهان",8341653767,,,,,,,,,,,,,,,
